profession,job_length,state,homeownership, annual_income ,debt_to_income,earliest_credit_line,total_credit_lines,total_credit_limit, total_credit_utilized ,loan_purpose, loan_amount,term,interest_rate, installment , total_payment , 10% of monthly , Bitcoin strategy ,issue_month
branch manager,10,CA,RENT,"59,000",21.79,1993,12,54840,"38,011",debt_consolidation,12500,36,11.98,415,16993,42,,18-Mar
supervisor,10,TX,RENT,"34,000",21.64,1993,21,30632,"11,648",credit_card,2400,36,10.42,78,3150,8,,18-Jan
registered nurse,10,CA,RENT,"165,000",21.28,1993,28,82800,"56,601",debt_consolidation,16000,60,18.45,410,30760,41,,18-Mar
service tech,10,OH,MORTGAGE,"45,000",21.23,1993,34,207236,"24,632",credit_card,16000,60,10.42,343,24336,34,,18-Jan
director,0,IL,MORTGAGE,"85,000",21.14,1993,37,376381,"76,573",credit_card,15000,36,11.98,498,20391,50,,18-Mar
"system manager, quality- rn",10,IN,OWN,"82,000",21.12,1993,18,65191,"27,398",credit_card,8000,36,12.62,268,11029,27,,18-Feb
supervisor,10,ME,MORTGAGE,"40,000",20.89,1993,22,143990,"24,925",debt_consolidation,15000,60,17.09,374,27818,37,,18-Feb
it tech ii,4,CA,MORTGAGE,"110,000",20.75,1993,22,636904,"52,392",debt_consolidation,40000,36,9.93,"1,289",51916,129,,18-Feb
ceo,10,NC,MORTGAGE,"105,000",20.48,1993,43,924659,"68,024",debt_consolidation,40000,36,9.93,"1,289",51916,129,,18-Feb
service technician,2,AK,MORTGAGE,"85,000",20.19,1993,38,349480,"28,424",debt_consolidation,20000,36,11.99,664,27194,66,,18-Jan
account executive,0,OH,RENT,"55,000",20.16,1993,44,72605,"36,070",credit_card,7000,36,6.71,215,8409,22,,18-Feb
town manager,10,NC,MORTGAGE,"70,000",20.08,1993,25,245011,"33,117",debt_consolidation,14500,36,6.71,446,17419,45,,18-Mar
sales,4,NY,RENT,"44,000",19.99,1993,15,56400,"45,189",credit_card,17500,60,11.99,389,27991,39,,18-Jan
shipping,10,CT,MORTGAGE,"75,000",19.84,1993,13,92143,"43,953",other,36000,60,13.59,830,60462,83,,18-Feb
coordinator ,10,CA,MORTGAGE,"65,000",19.63,1993,20,50238,"30,437",credit_card,30000,36,16.01,"1,055",44409,105,,18-Mar
registrar,0,CO,MORTGAGE,"48,000",19.2,1993,19,192317,"13,309",debt_consolidation,14000,60,16.02,341,25214,34,,18-Jan
executive assistant,0,VA,RENT,"116,000",18.95,1993,30,446850,"67,790",debt_consolidation,13125,36,10.91,429,17421,43,,18-Jan
,,MO,MORTGAGE,"29,016",18.86,1993,38,62200,"36,109",debt_consolidation,15000,36,10.41,487,19685,49,,18-Mar
service manager,10,AL,OWN,"60,000",18.74,1993,30,78385,"33,741",house,10000,36,5.32,301,11596,30,,18-Jan
supply specialist ,10,TX,MORTGAGE,"90,000",18.7,1993,16,210250,"68,794",house,10000,36,6.08,305,11824,30,,18-Jan
,,NC,OWN,"24,720",18.69,1993,17,33395,"24,020",credit_card,12000,36,12.62,402,16543,40,,18-Feb
,,IL,MORTGAGE,"55,000",18.68,1993,28,291000,"30,366",credit_card,15000,36,6.71,461,18020,46,,18-Mar
road mechanic,10,FL,RENT,"85,000",18.54,1993,16,46700,"26,736",other,30000,36,10.9,981,39810,98,,18-Mar
pastor,10,CO,OWN,"48,509",18.41,1993,27,75707,"24,014",debt_consolidation,35000,36,6.08,"1,066",41384,107,,18-Feb
realtor / assistant,5,NJ,MORTGAGE,"80,000",18.39,1993,27,531782,"81,876",credit_card,14000,60,9.44,294,20608,29,,18-Jan
technical account manager,3,CA,RENT,"113,000",18.37,1993,23,82546,"59,933",debt_consolidation,10800,36,15.05,375,15676,37,,18-Jan
,,NY,OWN,"48,000",18.23,1993,28,183482,"19,621",debt_consolidation,20000,60,10.9,434,30900,43,,18-Mar
finance/billing,7,MN,MORTGAGE,"57,000",18.19,1993,27,474575,"47,979",debt_consolidation,1975,36,7.35,61,2410,6,,18-Feb
bookkeeper,10,NC,MORTGAGE,"53,500",17.99,1993,38,175000,"23,462",debt_consolidation,12000,36,12.62,402,16543,40,,18-Feb
mgr - customer qa,10,WI,MORTGAGE,"85,000",17.83,1993,26,388885,"110,146",debt_consolidation,19000,60,7.35,379,25983,38,,18-Jan
receptionist,5,NY,RENT,"76,000",17.79,1993,25,47336,"18,269",other,4300,36,12.62,144,5928,14,,18-Jan
business analyst,0,SC,MORTGAGE,"140,000",17.75,1993,32,232652,"72,225",renewable_energy,13000,60,15.04,310,22776,31,,18-Mar
business analyst iii,10,TX,MORTGAGE,"80,000",17.71,1993,33,219527,"61,093",other,30000,60,13.58,692,50370,69,,18-Mar
support engineer/web designer,10,RI,RENT,"45,000",17.71,1993,13,72269,"35,160",debt_consolidation,18000,60,11.98,400,28782,40,,18-Mar
escrow officer,2,TX,OWN,"89,000",17.62,1993,24,231700,"32,951",credit_card,16000,36,13.58,544,22518,54,,18-Mar
staff field adjustor,5,TN,MORTGAGE,"82,768",17.49,1993,17,159128,"55,230",debt_consolidation,2000,36,16.02,70,2961,7,,18-Jan
,,CO,RENT,"42,000",17.43,1993,19,121474,"25,933",credit_card,2500,36,7.35,78,3051,8,,18-Jan
lvn,7,TX,OWN,"52,000",17.4,1993,16,43300,"15,795",home_improvement,13000,36,5.31,391,15071,39,,18-Mar
officer,2,MD,OWN,"70,000",17.01,1993,10,47774,"32,244",debt_consolidation,20000,60,12.62,451,32620,45,,18-Feb
sales manager,10,WA,MORTGAGE,"73,000",16.99,1993,38,269227,"31,117",debt_consolidation,24000,36,9.44,768,30797,77,,18-Jan
systems engineer ,1,VA,MORTGAGE,"165,000",16.6,1993,47,118593,"82,468",debt_consolidation,35000,60,19.03,909,68303,91,,18-Jan
director of supply chain operations,4,PA,MORTGAGE,"180,000",16.56,1993,30,569999,"85,647",home_improvement,25000,60,7.34,499,34175,50,,18-Mar
logistics,10,FL,MORTGAGE,"89,000",16.53,1993,15,70047,"52,626",debt_consolidation,10000,60,20.39,267,20195,27,,18-Feb
,,TX,MORTGAGE,"30,000",16.52,1993,13,48650,"25,825",debt_consolidation,15000,36,15.05,520,21773,52,,18-Jan
mechanic,8,CA,OWN,"75,000",16.02,1993,23,402498,"23,888",vacation,1500,36,6.08,46,1774,5,,18-Feb
owner,10,TX,OWN,"150,000",15.85,1993,39,118560,"65,443",home_improvement,10000,36,11.99,332,13597,33,,18-Jan
regional manager,6,VA,RENT,"102,500",15.4,1993,32,74174,"43,808",debt_consolidation,12000,36,10.9,392,15924,39,,18-Mar
sales manager,4,NY,MORTGAGE,"165,000",15.4,1993,38,473535,"118,633",credit_card,3000,36,7.35,93,3662,9,,18-Jan
forge fabrucator,4,MI,OWN,"63,000",15.12,1993,29,60600,"19,702",credit_card,6000,36,6.71,184,7208,18,,18-Mar
pipefitter superintendent,10,IN,MORTGAGE,"142,000",14.98,1993,30,461657,"56,963",credit_card,15000,36,6.72,461,18024,46,,18-Feb
,,NC,RENT,"45,000",14.93,1993,7,23000,"22,860",credit_card,20000,36,9.43,640,25658,64,,18-Mar
behavioral health unit supervisor,10,CA,MORTGAGE,"115,000",14.86,1993,28,287891,"85,116",credit_card,35000,60,14.07,816,59623,82,,18-Mar
credit analyst,9,AL,MORTGAGE,"100,000",14.54,1993,41,253869,"31,726",credit_card,35000,36,10.41,"1,136",45931,114,,18-Feb
teacher,7,OH,MORTGAGE,"70,000",14.51,1993,33,360585,"173,731",debt_consolidation,6000,36,9.44,192,7699,19,,18-Jan
welding foreman,10,NJ,MORTGAGE,"165,000",14.1,1993,29,677824,"78,335",home_improvement,24000,36,18.06,868,37003,87,,18-Feb
military officer,10,CA,MORTGAGE,"120,000",13.99,1993,24,187200,"101,601",car,5600,36,16.02,197,8291,20,,18-Feb
deputy,10,CA,MORTGAGE,"140,000",13.82,1993,21,631258,"69,647",debt_consolidation,15000,60,9.93,318,22448,32,,18-Jan
service engineer,3,FL,MORTGAGE,"80,000",13.56,1993,43,330394,"32,036",debt_consolidation,18500,60,12.62,417,30174,42,,18-Jan
marketing director,3,CA,MORTGAGE,"100,000",13.33,1993,22,45949,"24,685",other,35000,36,9.44,"1,120",44912,112,,18-Jan
qa developer,2,CA,RENT,"189,000",13.26,1993,23,144608,"112,820",credit_card,32000,60,15.05,762,56080,76,,18-Feb
engineer,6,TX,OWN,"166,400",13.15,1993,33,119427,"108,591",home_improvement,40000,60,15.04,952,70080,95,,18-Mar
driver,10,MN,MORTGAGE,"96,000",13.05,1993,17,336012,"34,057",debt_consolidation,10000,60,15.04,238,17520,24,,18-Mar
senior programmer/analyst,6,MA,MORTGAGE,"107,000",13,1993,27,328781,"47,852",debt_consolidation,20000,36,6.72,615,24032,61,,18-Feb
hr director,10,MO,MORTGAGE,"98,000",12.86,1993,16,200375,"33,291",credit_card,22500,36,10.42,730,29534,73,,18-Jan
executive director,2,NY,RENT,"191,000",12.75,1993,19,65617,"37,974",debt_consolidation,28000,36,9.44,896,35930,90,,18-Feb
senior paralegal,10,TX,MORTGAGE,"160,000",12.48,1993,28,215179,"66,075",debt_consolidation,4000,36,13.59,136,5631,14,,18-Feb
,,PA,OWN,"56,000",12.47,1993,27,135888,"19,223",other,8000,36,6.08,244,9459,24,,18-Jan
handyman,2,VA,RENT,"65,000",12.46,1993,34,69428,"59,824",other,10000,60,16.02,243,18010,24,,18-Jan
radiologic technologist,10,NC,MORTGAGE,"64,000",12.45,1993,23,58274,"25,261",debt_consolidation,10000,36,10.91,327,13273,33,,18-Feb
server,10,MI,OWN,"85,000",12.44,1993,27,225129,"18,509",credit_card,3000,36,5.31,90,3478,9,,18-Mar
warehouse associate,3,OH,OWN,"23,920",12.29,1993,16,16140,"8,352",major_purchase,12000,60,14.07,280,20442,28,,18-Mar
attorney - member,8,VT,MORTGAGE,"350,000",11.98,1993,23,680784,"162,278",credit_card,15000,36,12.61,503,20675,50,,18-Mar
manager,10,FL,MORTGAGE,"91,000",11.59,1993,18,76972,"49,915",home_improvement,10000,36,7.97,313,12391,31,,18-Jan
,,CO,OWN,"120,000",11.4,1993,24,67391,"18,555",debt_consolidation,15000,36,16.01,527,22205,53,,18-Mar
employee health care specialist,10,WA,MORTGAGE,"85,000",11.18,1993,25,318823,"47,525",home_improvement,7000,36,6.08,213,8277,21,,18-Jan
underwriter,8,WA,RENT,"62,000",11.15,1993,16,29494,"8,350",medical,4500,36,9.44,144,5774,14,,18-Jan
manager ,10,TX,MORTGAGE,"192,000",11.11,1993,27,363751,"88,777",other,24000,36,6.72,738,28838,74,,18-Jan
sales,6,CA,MORTGAGE,"128,000",10.92,1993,29,609250,"27,380",debt_consolidation,10000,60,10.9,217,15450,22,,18-Mar
nurse,1,TX,OWN,"101,000",10.69,1993,31,391595,"47,930",other,3100,36,5.31,93,3594,9,,18-Mar
,,IL,MORTGAGE,"35,000",10.67,1993,18,122900,"7,527",home_improvement,12000,60,21.85,330,25110,33,,18-Feb
counselor,2,LA,MORTGAGE,"83,000",10.57,1993,30,210025,"18,170",medical,7000,36,6.71,215,8409,22,,18-Mar
chief inspector ,10,TX,MORTGAGE,"80,000",10.47,1993,26,216221,"25,245",debt_consolidation,7000,36,7.96,219,8672,22,,18-Mar
sales,10,CA,MORTGAGE,"100,000",10.3,1993,27,388161,"13,627",debt_consolidation,22400,60,10.42,481,34070,48,,18-Feb
patient access ,2,AL,MORTGAGE,"35,000",10.29,1993,7,94599,"10,946",debt_consolidation,16000,60,12.61,361,26088,36,,18-Mar
president,8,CA,OWN,"85,000",9.83,1993,18,365500,"29,582",debt_consolidation,20000,36,5.32,602,23192,60,,18-Jan
pr director,1,CA,MORTGAGE,"185,000",9.71,1993,24,559500,"139,253",credit_card,30000,36,7.97,940,37173,94,,18-Feb
owner,10,NY,MORTGAGE,"100,000",9.37,1993,35,180695,"28,746",debt_consolidation,20000,36,5.31,602,23186,60,,18-Mar
cmo,2,CO,MORTGAGE,"377,000",9.32,1993,34,1370840,"47,825",major_purchase,40000,36,10.9,"1,308",53080,131,,18-Mar
program officer,5,NM,MORTGAGE,"120,000",9.2,1993,14,125121,"39,756",debt_consolidation,3600,36,7.96,113,4460,11,,18-Mar
collector,3,OR,OWN,"36,000",8.87,1993,14,59200,"7,705",credit_card,10000,36,5.32,301,11596,30,,18-Jan
sales,1,CA,MORTGAGE,"500,000",8.52,1993,16,1529377,"112,880",debt_consolidation,12950,36,7.35,402,15805,40,,18-Jan
it specialist,10,OH,RENT,"100,000",8.48,1993,28,42654,"26,609",credit_card,7200,36,10.91,235,9557,24,,18-Jan
customer service/sales associate,10,OH,RENT,"54,000",8.22,1993,20,51226,"44,986",debt_consolidation,11500,60,9.44,241,16928,24,,18-Feb
assistant district attorney ,10,NY,MORTGAGE,"156,000",8.04,1993,34,403241,"14,531",debt_consolidation,12000,36,7.96,376,14866,38,,18-Mar
court reporter,10,TX,MORTGAGE,"102,000",7.94,1993,21,239457,"35,089",debt_consolidation,6500,36,6.07,198,7684,20,,18-Mar
physician,10,MA,MORTGAGE,"230,000",7.94,1993,20,717200,"71,321",debt_consolidation,25000,36,5.32,753,28990,75,,18-Feb
nurse,10,NY,OWN,"100,000",7.48,1993,13,52018,"39,895",debt_consolidation,13000,36,10.41,422,17060,42,,18-Mar
rn clinical informatics coordinator ,3,AK,MORTGAGE,"97,000",7.29,1993,34,564083,"24,065",debt_consolidation,23000,36,5.31,693,26664,69,,18-Mar
crna,4,OH,MORTGAGE,"254,000",7.27,1993,36,422619,"60,490",home_improvement,25000,60,9.43,524,36788,52,,18-Mar
,,IN,OWN,"38,400",6.53,1993,11,11200,"7,865",other,10000,36,9.44,320,12832,32,,18-Feb
operations manager,10,CA,MORTGAGE,"160,000",6.03,1993,25,674708,"31,273",debt_consolidation,20000,60,9.93,424,29930,42,,18-Jan
account executive,3,CA,MORTGAGE,"60,000",5.74,1993,13,18200,"10,938",home_improvement,35000,36,16.01,"1,231",51811,123,,18-Feb
registered nurse,10,NC,MORTGAGE,"68,000",5.19,1993,37,281991,"11,122",other,9000,36,6.07,274,10639,27,,18-Mar
project engineer,10,VA,MORTGAGE,"120,000",4.8,1993,19,27656,"19,418",home_improvement,32000,60,14.08,746,54528,75,,18-Jan
healthcare coordinator,4,FL,MORTGAGE,"52,000",4.57,1993,22,129317,"5,750",medical,28000,60,10.9,607,43260,61,,18-Mar
teacher,10,MD,MORTGAGE,"245,000",4.56,1993,22,632864,"32,455",house,7200,36,5.31,217,8347,22,,18-Feb
mechanical engineer,2,CA,MORTGAGE,"118,500",3.99,1993,17,321090,"13,774",car,5000,36,5.31,151,5797,15,,18-Feb
ceo,4,CA,MORTGAGE,"60,000",3.96,1993,30,331900,"10,703",other,15000,36,9.44,480,19248,48,,18-Jan
administrative assistant,0,NV,RENT,"45,000",2.88,1993,24,20100,"4,019",major_purchase,1500,36,6.07,46,1773,5,,18-Mar
sales account manager,10,SC,RENT,"75,000",2.05,1993,11,11200,"2,556",other,10000,60,26.3,301,23150,30,,18-Jan
medical coding auditor ,0,NC,RENT,"83,000",1.66,1993,11,22000,"4,466",credit_card,35000,36,5.32,"1,054",40586,105,,18-Feb
assist manager ,3,OH,RENT,"42,000",0.63,1993,12,5500,"1,075",debt_consolidation,2800,36,10.42,91,3675,9,,18-Feb
,,MO,MORTGAGE, -   ,,1994,19,89475,"74,306",debt_consolidation,14925,60,24.85,437,33469,44,,18-Feb
,,PA,OWN,"5,208",96.77,1994,14,14800,"9,205",debt_consolidation,7000,36,9.43,224,8980,22,,18-Mar
,,OH,MORTGAGE,"37,000",71.91,1994,35,218335,"67,288",debt_consolidation,35000,36,16.01,"1,231",51811,123,,18-Mar
scheduling manager,10,MN,OWN,"34,000",70.21,1994,11,82700,"77,049",debt_consolidation,40000,60,11.99,890,63980,89,,18-Jan
office manager,10,AL,MORTGAGE,"34,700",66.59,1994,22,308687,"59,319",debt_consolidation,25000,60,10.42,536,38025,54,,18-Jan
,,AL,OWN,"3,000",64.4,1994,3,26400,"6,829",debt_consolidation,7000,36,7.97,219,8674,22,,18-Jan
bookkeeper,10,VA,MORTGAGE,"45,000",62.58,1994,30,308171,"97,445",other,15000,36,10.41,487,19685,49,,18-Mar
office manager,10,OH,MORTGAGE,"45,000",50.21,1994,29,248690,"69,062",debt_consolidation,25000,36,7.96,783,30970,78,,18-Mar
owner,10,MN,MORTGAGE,"23,000",49.58,1994,31,44927,"29,553",credit_card,15000,60,20,397,30000,40,,18-Feb
dental pas tl,2,OH,RENT,"52,780",44.85,1994,44,107054,"63,469",debt_consolidation,35000,36,7.35,"1,086",42718,109,,18-Jan
machine operator,1,VA,MORTGAGE,"44,000",43.45,1994,35,65037,"46,213",other,1500,36,16.01,53,2220,5,,18-Mar
teacher,10,NV,MORTGAGE,"60,000",42.86,1994,42,553729,"94,029",debt_consolidation,16800,60,9.44,352,24730,35,,18-Jan
medical support assistant ,10,MI,MORTGAGE,"68,000",42.66,1994,25,174533,"74,066",credit_card,25000,60,15.04,595,43800,60,,18-Mar
,,CA,OWN,"30,504",39.54,1994,22,102700,"41,002",debt_consolidation,15000,36,23.87,587,25742,59,,18-Mar
deputy clerk,10,KS,MORTGAGE,"34,964",38.07,1994,32,188064,"51,129",debt_consolidation,5000,36,11.99,166,6799,17,,18-Jan
,,MS,RENT,"28,750",37.95,1994,11,56833,"31,165",credit_card,15000,60,13.59,346,25193,35,,18-Feb
professional truck driver,10,WV,MORTGAGE,"120,000",37.55,1994,41,174336,"67,500",debt_consolidation,12000,36,16.02,422,17767,42,,18-Jan
truck driver,6,UT,MORTGAGE,"65,000",36.32,1994,48,111364,"92,186",credit_card,20000,60,21.45,546,41450,55,,18-Jan
,,CA,MORTGAGE,"65,000",36.07,1994,21,694377,"60,378",debt_consolidation,35000,36,12.61,"1,173",48241,117,,18-Mar
supervisor ,10,SC,MORTGAGE,"35,000",36.04,1994,34,125949,"25,192",debt_consolidation,10000,36,22.9,387,16870,39,,18-Mar
manager,5,MA,MORTGAGE,"70,000",35.64,1994,53,312819,"87,367",debt_consolidation,21600,36,13.59,734,30406,73,,18-Feb
painter 2,10,FL,MORTGAGE,"58,000",34.49,1994,17,98049,"69,482",debt_consolidation,10000,36,16.02,352,14806,35,,18-Jan
recruiting sfc,10,CO,MORTGAGE,"70,000",33.39,1994,25,377936,"81,384",credit_card,16000,60,17.47,402,29976,40,,18-Mar
equipment mechanic,1,OH,MORTGAGE,"95,000",33.07,1994,32,240269,"108,349",debt_consolidation,10000,36,16.01,352,14803,35,,18-Feb
sheet metal journeyman,10,NJ,MORTGAGE,"75,000",32.56,1994,35,373435,"142,399",credit_card,4000,36,14.07,137,5688,14,,18-Mar
director,8,PA,MORTGAGE,"121,000",32.38,1994,28,382061,"101,571",debt_consolidation,10000,36,19.03,367,15709,37,,18-Feb
"manager, software delivery",10,FL,MORTGAGE,"129,000",31.64,1994,40,709073,"246,400",credit_card,11200,36,5.32,337,12988,34,,18-Jan
teacher/coach,10,AL,MORTGAGE,"60,000",31.5,1994,18,319110,"58,875",debt_consolidation,16000,36,18.06,579,24669,58,,18-Mar
lpn,10,ID,OWN,"50,000",31.35,1994,19,86930,"49,555",credit_card,10000,60,16.02,243,18010,24,,18-Jan
safety engineer,10,FL,OWN,"98,000",30.81,1994,14,120477,"89,347",other,10000,36,20.39,374,16117,37,,18-Mar
finance assistant ,7,AZ,OWN,"60,000",30.75,1994,25,62835,"35,550",debt_consolidation,20000,36,16.01,703,29606,70,,18-Mar
pharmacist,10,CO,MORTGAGE,"175,000",30.74,1994,49,673150,"260,440",other,35000,36,7.34,"1,086",42707,109,,18-Mar
respiratory therapist,10,LA,MORTGAGE,"61,000",30.45,1994,30,134307,"33,632",other,1500,36,7.35,47,1831,5,,18-Jan
mechanical engineer,10,OH,MORTGAGE,"78,000",30.34,1994,16,168416,"98,658",credit_card,32000,36,10.9,"1,046",42464,105,,18-Mar
"senior vice president, sr rel manager",10,CA,MORTGAGE,"185,000",30.12,1994,15,489200,"437,799",debt_consolidation,24000,60,10.42,515,36504,51,,18-Feb
recruiting manager,0,VA,MORTGAGE,"84,800",30.06,1994,67,314612,"89,585",credit_card,10000,36,6.07,305,11821,30,,18-Mar
worker,3,NY,RENT,"23,000",30.03,1994,17,41819,"14,990",credit_card,16125,60,14.08,376,27477,38,,18-Feb
ad ops manager,5,MI,OWN,"42,000",29.09,1994,27,75762,"37,382",debt_consolidation,14000,60,14.07,326,23849,33,,18-Mar
office assistant,10,TX,MORTGAGE,"28,000",28.81,1994,32,82825,"25,522",credit_card,9000,36,7.97,282,11152,28,,18-Feb
exam coordinator/technology specialist,4,IL,MORTGAGE,"69,000",28.74,1994,27,343595,"91,151",credit_card,12000,36,7.35,372,14646,37,,18-Feb
sales,3,NE,MORTGAGE,"120,000",28.03,1994,36,304295,"105,910",debt_consolidation,4000,36,11.99,133,5439,13,,18-Jan
body shop manager,10,NC,MORTGAGE,"45,000",27.55,1994,14,220400,"42,192",home_improvement,16000,36,9.93,516,20766,52,,18-Jan
teacher,10,TX,RENT,"88,000",27.51,1994,32,178377,"89,379",vacation,7000,36,6.72,215,8411,22,,18-Feb
educator,10,NM,MORTGAGE,"138,000",27.51,1994,19,258453,"162,295",debt_consolidation,28000,36,6.71,861,33636,86,,18-Mar
registered nurse,10,FL,RENT,"69,000",27.43,1994,9,77525,"49,053",debt_consolidation,11000,36,12.62,369,15165,37,,18-Jan
president,10,CA,MORTGAGE,"139,000",27.4,1994,33,112246,"88,612",debt_consolidation,35000,60,15.04,833,61320,83,,18-Mar
shipping & receiving,2,OH,RENT,"45,000",27.28,1994,14,43629,"26,502",credit_card,11500,60,21.85,317,24064,32,,18-Mar
classification sergeant,10,ME,MORTGAGE,"60,000",27.17,1994,24,186793,"39,298",debt_consolidation,5000,36,6.07,152,5911,15,,18-Mar
driver,10,CA,MORTGAGE,"64,000",27.06,1994,22,285905,"38,852",vacation,15000,60,18.45,385,28838,38,,18-Mar
manager,3,IN,MORTGAGE,"30,000",26.56,1994,16,177300,"15,439",debt_consolidation,2000,36,9.44,64,2566,6,,18-Feb
maintenance tech 6,10,UT,OWN,"62,000",26.52,1994,56,223299,"58,669",home_improvement,5000,36,16.01,176,7402,18,,18-Mar
,,WI,MORTGAGE,"15,000",26.48,1994,10,27600,"7,609",debt_consolidation,6000,36,7.96,188,7433,19,,18-Mar
caregiver,3,OH,RENT,"30,000",26.24,1994,10,34138,"20,537",credit_card,6000,36,12.62,201,8272,20,,18-Mar
attorney,4,IN,MORTGAGE,"120,000",26.24,1994,20,504331,"202,033",credit_card,35000,36,7.97,"1,096",43369,110,,18-Mar
nda technical programs manager,2,TN,MORTGAGE,"189,000",26.14,1994,51,502679,"194,936",debt_consolidation,30000,60,23.88,861,65820,86,,18-Feb
sales specialist,10,OH,MORTGAGE,"70,000",26.11,1994,26,185630,"69,264",credit_card,20000,60,9.92,424,29920,42,,18-Mar
,,ID,OWN,"72,000",25.96,1994,34,137521,"39,549",debt_consolidation,35000,36,12.62,"1,173",48251,117,,18-Jan
regional hr manager,10,MS,MORTGAGE,"96,000",25.74,1994,23,335214,"88,847",debt_consolidation,7500,36,11.99,249,10198,25,,18-Jan
data analyst,10,KS,RENT,"34,000",25.73,1994,13,35375,"24,310",debt_consolidation,24450,60,18.45,627,47005,63,,18-Mar
mechanic,10,PA,MORTGAGE,"45,000",25.39,1994,24,191318,"41,347",credit_card,25000,60,12.62,564,40775,56,,18-Jan
firefighter/paramedic,10,CA,MORTGAGE,"206,000",25.38,1994,58,603664,"203,490",debt_consolidation,35000,36,7.97,"1,096",43369,110,,18-Feb
communications manager,9,CO,MORTGAGE,"90,000",25.33,1994,28,395377,"68,184",debt_consolidation,35000,60,12.62,790,57085,79,,18-Jan
school secretary 1,10,CA,RENT,"51,754",25.14,1994,40,120960,"106,836",credit_card,2500,36,9.93,81,3245,8,,18-Jan
cna,10,MA,MORTGAGE,"37,000",24.98,1994,26,41975,"15,690",debt_consolidation,10000,36,16.02,352,14806,35,,18-Jan
sales,1,SC,RENT,"28,000",24.86,1994,9,21300,"12,569",debt_consolidation,20000,36,9.44,640,25664,64,,18-Feb
counselor,10,TX,MORTGAGE,"70,000",24.76,1994,24,415186,"61,454",credit_card,22000,36,5.32,663,25511,66,,18-Feb
director-owner,7,MN,MORTGAGE,"93,000",24.75,1994,46,798310,"74,053",medical,15000,60,10.9,325,23175,33,,18-Mar
teacher,10,WY,RENT,"48,000",24.68,1994,26,80300,"45,108",credit_card,6000,36,6.72,185,7210,18,,18-Feb
nurse,10,MN,OWN,"55,000",24.63,1994,28,101300,"39,371",credit_card,20000,60,9.93,424,29930,42,,18-Jan
school bus driver,0,WA,MORTGAGE,"30,000",24.6,1994,18,42400,"31,141",debt_consolidation,9000,36,12.62,302,12407,30,,18-Feb
sports editor,10,HI,RENT,"111,000",24.46,1994,28,166350,"70,199",credit_card,25000,36,7.35,776,30513,78,,18-Feb
work leader,10,TX,MORTGAGE,"80,000",24.14,1994,29,426921,"284,957",home_improvement,20000,60,18.06,509,38060,51,,18-Feb
plumber ,10,MI,MORTGAGE,"70,000",24.09,1994,45,191946,"56,343",other,16000,60,24.85,468,35880,47,,18-Mar
